WordCounter 1Nephi.txt
match => 24
move => 24
passed => 24
set => 24
sorry => 24
ten => 24
week => 24
words => 24
youll => 24
Dudleys => 23
Granger => 23
Norbert => 23
One => 23
arms => 23
began => 23
castle => 23
cat => 23
catch => 23
dead => 23
does => 23
either => 23
empty => 23
except => 23
library => 23
note => 23
parents => 23
somewhere => 23
staring => 23
twins => 23
wont => 23
world => 23
Come => 22
Goyle => 22
Muggle => 22
Quirrells => 22
answer => 22
between => 22
blood => 22
book => 22
class => 22
common => 22
dog => 22
far => 22
moved => 22
noise => 22
rather => 22
reason => 22
someone => 22
stone => 22
strange => 22
students => 22
theres => 22
those => 22
youve => 22
Crabbe => 21
Hed => 21
Two => 21
Weve => 21
asleep => 21
believe => 21
cupboard => 21
dropped => 21
hardly => 21
held => 21
isnt => 21
legs => 21
mouth => 21
muttered => 21
nice => 21
pointed => 21
since => 21
street => 21
such => 21
talk => 21
watched => 21
wizards => 21
Flitwick => 20
For => 20
My => 20
Ronan => 20
Theres => 20
Whats => 20
alone => 20
anyway => 20
ceiling => 20
different => 20
famous => 20
fast => 20
feel => 20
finally => 20
followed => 20
forget => 20
gasped => 20
glass => 20
gotten => 20
horrible => 20
huge => 20
idea => 20
knows => 20
letters => 20
managed => 20
owls => 20
pale => 20
speak => 20
start => 20
stay => 20
together => 20
tonight => 20
unicorn => 20
use => 20
After => 19
Are => 19
Everyone => 19
Good => 19
Just => 19
Muggles => 19
Quaffle => 19
Rons => 19
That => 19
arm => 19
car => 19
close => 19
cup => 19
exactly => 19
game => 19
havent => 19
met => 19
opened => 19
pleased => 19
raised => 19
ran => 19
safe => 19
smiling => 19
spoke => 19
stupid => 19
teachers => 19
wait => 19
waiting => 19
weve => 19
word => 19
An => 18
Dark => 18
Firenze => 18
Ollivander => 18
On => 18
Potters => 18
Seamus => 18
See => 18
Snitch => 18
THE => 18
Where => 18
boys => 18
bright => 18
died => 18
don => 18
dragons => 18
given => 18
heads => 18
home => 18
hope => 18
hut => 18
kill => 18
knocked => 18
leave => 18
loudly => 18
making => 18
seat => 18
seven => 18
shook => 18
sleep => 18
sound => 18
stepped => 18
telling => 18
times => 18
turn => 18
usual => 18
watch => 18
watching => 18
whats => 18
woman => 18
wrong => 18
CHAPTER => 17
Do => 17
Every => 17
Go => 17
Thousand => 17
allowed => 17
arrived => 17
brought => 17
call => 17
crowd => 17
field => 17
forgotten => 17
however => 17
lay => 17
money => 17
neck => 17
pain => 17
play => 17
please => 17
pocket => 17
pointing => 17
realized => 17
run => 17
scar => 17
send => 17
sign => 17
sit => 17
slowly => 17
snake => 17
stand => 17
taking => 17
third => 17
threw => 17
understand => 17
wearing => 17
won => 17
Drive => 16
Dumbledores => 16
Fang => 16
Gryffindors => 16
Nimbus => 16
Privet => 16
Sorcerers => 16
Youre => 16
above => 16
became => 16
dear => 16
disappeared => 16
leg => 16
near => 16
pair => 16
picked => 16
platform => 16
pushed => 16
seconds => 16
seem => 16
sent => 16
shop => 16
showed => 16
supposed => 16
terrible => 16
toad => 16
used => 16
walls => 16
youd => 16
Bane => 15
Even => 15
Hall => 15
Hufflepuff => 15
Malfoys => 15
Nevilles => 15
Nicolas => 15
Piers => 15
Right => 15
Slytherins => 15
afternoon => 15
ahead => 15
also => 15
angry => 15
breath => 15
chamber => 15
climbed => 15
doors => 15
fact => 15
fifty => 15
free => 15
ghost => 15
glasses => 15
important => 15
lamp => 15
late => 15
learn => 15
low => 15
meet => 15
number => 15
others => 15
secret => 15
shoulder => 15
shut => 15
stuff => 15
themselves => 15
thinking => 15
trees => 15
turning => 15
twelve => 15
wide => 15
yelled => 15
Charlie => 14
Flint => 14
London => 14
Theyre => 14
Three => 14
Yeah => 14
Your => 14
bent => 14
bet => 14
deep => 14
eleven => 14
evening => 14
fingers => 14
flying => 14
friends => 14
guarding => 14
having => 14
hurried => 14
hurt => 14
instead => 14
invisibility => 14
jumped => 14
killed => 14
kitchen => 14
leapt => 14
liked => 14
loud => 14
mad => 14
mail => 14
matter => 14
minute => 14
nearer => 14
nervous => 14
nine => 14
pink => 14
playing => 14
point => 14
portrait => 14
purple => 14
running => 14
silence => 14
sister => 14
spell => 14
sudden => 14
swung => 14
tail => 14
tea => 14
thick => 14
tiny => 14
today => 14
tree => 14
turban => 14
twice => 14
wild => 14
wondered => 14
yourself => 14
Bludgers => 13
Hedwig => 13
Magic => 13
Mom => 13
Never => 13
Potions => 13
Scabbers => 13
Seeker => 13
added => 13
ago => 13
apart => 13
aunt => 13
birthday => 13
body => 13
break => 13
broken => 13
brooms => 13
carefully => 13
cart => 13
die => 13
direction => 13
eh => 13
expect => 13
expelled => 13
follow => 13
foot => 13
gray => 13
grounds => 13
hit => 13
hour => 13
lose => 13
lucky => 13
middle => 13
nasty => 13
odd => 13
ones => 13
package => 13
paper => 13
pile => 13
practice => 13
questions => 13
quiet => 13
quietly => 13
ready => 13
scared => 13
screamed => 13
seized => 13
shed => 13
six => 13
sky => 13
smile => 13
smiled => 13
staircase => 13
upstairs => 13
walking => 13
worry => 13
Er => 12
Got => 12
Griphook => 12
Hermiones => 12
Norris => 12
Pomfrey => 12
Sir => 12
Their => 12
Weasleys => 12
Were => 12
With => 12
anythin => 12
appeared => 12
arent => 12
ball => 12
beard => 12
blue => 12
brothers => 12
buy => 12
card => 12
case => 12
classroom => 12
crate => 12
ears => 12
easy => 12
em => 12
expected => 12
eye => 12
faces => 12
finished => 12
flew => 12
forehead => 12
grabbed => 12
hanging => 12
happy => 12
heavy => 12
hole => 12
hung => 12
key => 12
knees => 12
known => 12
leaned => 12
leaving => 12
line => 12
live => 12
lying => 12
path => 12
possible => 12
pull => 12
real => 12
says => 12
several => 12
shaking => 12
sharp => 12
show => 12
sir => 12
smell => 12
somehow => 12
tall => 12
tower => 12
true => 12
walk => 12
wondering => 12
worse => 12
Ah => 11
Anyway => 11
Cauldron => 11
Hooch => 11
Nothing => 11
Of => 11
Perhaps => 11
Something => 11
Vernons => 11
Very => 11
balls => 11
bottle => 11
breakfast => 11
broke => 11
burst => 11
chance => 11
changed => 11
chess => 11
clapped => 11
closer => 11
coat => 11
crept => 11
cried => 11
dad => 11
dare => 11
days => 11
decided => 11
difficult => 11
edge => 11
explain => 11
families => 11
fat => 11
friend => 11
furiously => 11
glad => 11
goes => 11
happen => 11
hold => 11
inches => 11
landed => 11
least => 11
leaves => 11
lessons => 11
listen => 11
listening => 11
maybe => 11
nervously => 11
obviously => 11
oclock => 11
racing => 11
rock => 11
rolled => 11
rose => 11
shock => 11
shot => 11
soon => 11
spent => 11
spotted => 11
steal => 11
step => 11
story => 11
touch => 11
usually => 11
wed => 11
weeks => 11
witch => 11
worried => 11
Can => 10
Cant => 10
Chocolate => 10
Did => 10
Draco => 10
Fat => 10
Is => 10
Leaky => 10
Lee => 10
Only => 10
Or => 10
People => 10
To => 10
Youll => 10
Youve => 10
agreed => 10
baby => 10
bag => 10
barrier => 10
bin => 10
boat => 10
bought => 10
business => 10
busy => 10
careful => 10
carried => 10
carrying => 10
chair => 10
clearing => 10
clearly => 10
corridors => 10
dangerous => 10
doesnt => 10
dormitory => 10
dream => 10
during => 10
earth => 10
eat => 10
entrance => 10
fall => 10
flat => 10
food => 10
girl => 10
goblin => 10
headed => 10
hell => 10
hidden => 10
holidays => 10
hoping => 10
horror => 10
hundreds => 10
ice => 10
interesting => 10
invisible => 10
jerked => 10
joined => 10
keeping => 10
kind => 10
knowing => 10
learned => 10
less => 10
living => 10
lock => 10
locked => 10
luck => 10
may => 10
mistake => 10
myself => 10
narrow => 10
nodded => 10
normal => 10
outta => 10
plant => 10
pockets => 10
power => 10
powerful => 10
presents => 10
probably => 10
question => 10
realize => 10
remembered => 10
row => 10
save => 10
shouldnt => 10
single => 10
size => 10
slipped => 10
sofa => 10
sounded => 10
starting => 10
station => 10
surprise => 10
sweater => 10
teacher => 10
television => 10
thin => 10
throwing => 10
tomorrow => 10
twenty => 10
umbrella => 10
uncle => 10
waved => 10
windows => 10
woke => 10
working => 10
written => 10
About => 9
Albus => 9
Bludger => 9
Charlies => 9
Dean => 9
Get => 9
Halloween => 9
High => 9
Jordan => 9
Miss => 9
Nearly => 9
P => 9
Ravenclaw => 9
Whos => 9
afraid => 9
ages => 9
am => 9
bowed => 9
box => 9
brother => 9
change => 9
compartment => 9
covered => 9
crash => 9
death => 9
drew => 9
drink => 9
ear => 9
eating => 9
egg => 9
envelope => 9
exams => 9
fight => 9
following => 9
footsteps => 9
furious => 9
gets => 9
giving => 9
handed => 9
hated => 9
hours => 9
indeed => 9
job => 9
jump => 9
knock => 9
laughed => 9
lead => 9
lips => 9
needed => 9
news => 9
none => 9
noticing => 9
opposite => 9
ordinary => 9
parchment => 9
piece => 9
pieces => 9
potion => 9
pulling => 9
relief => 9
reminded => 9
rules => 9
silent => 9
slid => 9
son => 9
stairs => 9
stands => 9
stars => 9
steps => 9
storm => 9
stuck => 9
studying => 9
teeth => 9
term => 9
tight => 9
trapdoor => 9
trunk => 9
twin => 9
underneath => 9
wake => 9
wands => 9
water => 9
whether => 9
win => 9
wind => 9
young => 9
Arts => 8
Chasers => 8
Could => 8
Don => 8
Give => 8
Have => 8
Keeper => 8
Longbottom => 8
Magical => 8
Maybe => 8
Next => 8
Remembrall => 8
Shut => 8
Some => 8
Someone => 8
Thanks => 8
Up => 8
Was => 8
While => 8
Yet => 8
alive => 8
asking => 8
awake => 8
become => 8
bottom => 8
branches => 8
breaking => 8
brown => 8
care => 8
chessmen => 8
clothes => 8
couple => 8
cry => 8
crying => 8
cut => 8
damp => 8
desperate => 8
dinner => 8
dogs => 8
drop => 8
faced => 8
facing => 8
faded => 8
fear => 8
fly => 8
forbidden => 8
fun => 8
girls => 8
golden => 8
grass => 8
haired => 8
halfway => 8
handle => 8
hate => 8
herself => 8
hurry => 8
interested => 8
jus => 8
keys => 8
knocking => 8
laughing => 8
led => 8
lit => 8
lived => 8
loads => 8
marble => 8
marched => 8
meant => 8
mention => 8
motorcycle => 8
moving => 8
names => 8
nostrils => 8
notice => 8
often => 8
parcel => 8
passageway => 8
person => 8
prefect => 8
reflection => 8
rushed => 8
shes => 8
shows => 8
sighed => 8
simply => 8
snarled => 8
sped => 8
spot => 8
stick => 8
stool => 8
suggested => 8
summer => 8
swallowed => 8
terrified => 8
toilet => 8
trembling => 8
trolls => 8
truth => 8
twisted => 8
vault => 8
wanting => 8
warned => 8
warning => 8
waving => 8
whisper => 8
wing => 8
wished => 8
wooden => 8
worth => 8
Alley => 7
By => 7
Diagon => 7
Finnigan => 7
First => 7
Hell => 7
Lady => 7
Lets => 7
Lily => 7
Ministry => 7
OUT => 7
Once => 7
Saturday => 7
Smelting => 7
Sorry => 7
Sorting => 7
Voldemorts => 7
although => 7
angrily => 7
anymore => 7
anywhere => 7
armor => 7
attention => 7
bacon => 7
binoculars => 7
boats => 7
bottles => 7
brave => 7
broomsticks => 7
bye => 7
cake => 7
cats => 7
cauldron => 7
centaur => 7
certainly => 7
cheer => 7
chuckled => 7
clean => 7
clear => 7
clicked => 7
club => 7
clutching => 7
crossed => 7
darkness => 7
dressed => 7
dungeons => 7
eagerly => 7
entered => 7
excellent => 7
fathers => 7
feast => 7
feather => 7
figure => 7
filled => 7
finding => 7
flash => 7
force => 7
goal => 7
goblins => 7
gotta => 7
growled => 7
grunted => 7
guard => 7
hang => 7
hiding => 7
higher => 7
hissed => 7
homework => 7
hot => 7
ignored => 7
joke => 7
kicked => 7
knight => 7
lemon => 7
lesson => 7
list => 7
looks => 7
lots => 7
means => 7
midair => 7
midnight => 7
murmured => 7
mustve => 7
muttering => 7
needs => 7
neither => 7
newspaper => 7
noses => 7
notes => 7
oh => 7
packed => 7
particularly => 7
passing => 7
peered => 7
perhaps => 7
piled => 7
players => 7
pressed => 7
properly => 7
proud => 7
quills => 7
road => 7
roll => 7
safely => 7
sea => 7
seats => 7
seems => 7
shadows => 7
shake => 7
shall => 7
sharply => 7
shocked => 7
shops => 7
shoulders => 7
showing => 7
sick => 7
silently => 7
slammed => 7
slightly => 7
snout => 7
solid => 7
somethin => 7
sounding => 7
sparks => 7
special => 7
sprang => 7
stayed => 7
stranger => 7
strode => 7
study => 7
summat => 7
surprised => 7
sweets => 7
swooped => 7
t => 7
tears => 7
thanks => 7
theyll => 7
thinks => 7
thirteen => 7
ticket => 7
touched => 7
unless => 7
visit => 7
waited => 7
wandering => 7
wants => 7
ways => 7
whatever => 7
witches => 7
wonder => 7
worked => 7
wrapped => 7
yeah => 7
yours => 7
zoo => 7
Another => 6
Be => 6
Beans => 6
Before => 6
Bloody => 6
Cross => 6
Dunno => 6
Erised => 6
Five => 6
Flavor => 6
Frogs => 6
From => 6
H => 6
History => 6
Keep => 6
Kings => 6
Knuts => 6
Let => 6
Listen => 6
McGonagalls => 6
Mirror => 6
Nah => 6
OF => 6
Out => 6
Patil => 6
Please => 6
Stones => 6
Table => 6
These => 6
Vol => 6
Wizards => 6
Woods => 6
Yeh => 6
Yer => 6
Youd => 6
afford => 6
backward => 6
beneath => 6
blankets => 6
blew => 6
board => 6
cheering => 6
cheers => 6
chest => 6
chocolate => 6
clambered => 6
classes => 6
cleared => 6
completely => 6
computer => 6
control => 6
courage => 6
crack => 6
darkly => 6
desk => 6
difference => 6
dive => 6
dived => 6
doorway => 6
dragged => 6
drills => 6
drove => 6
easily => 6
emerald => 6
er => 6
evil => 6
exam => 6
excitedly => 6
extra => 6
fallen => 6
favorite => 6
fighting => 6
fixed => 6
flames => 6
floating => 6
flute => 6
garden => 6
gently => 6
gettin => 6
ghosts => 6
grin => 6
grown => 6
harder => 6
hasnt => 6
hide => 6
hoops => 6
hospital => 6
houses => 6
howling => 6
human => 6
hurrying => 6
imagine => 6
itself => 6
join => 6
lake => 6
laugh => 6
laughter => 6
leading => 6
lie => 6
lightning => 6
lumpy => 6
lurking => 6
moaned => 6
moon => 6
moonlight => 6
mothers => 6
mountain => 6
mustache => 6
nearest => 6
nobody => 6
nor => 6
nothin => 6
older => 6
overhead => 6
pack => 6
panted => 6
peering => 6
perfect => 6
pig => 6
pinned => 6
planets => 6
plates => 6
platforms => 6
poor => 6
possession => 6
posts => 6
quarters => 6
quick => 6
rang => 6
rat => 6
relieved => 6
repeated => 6
return => 6
rid => 6
rule => 6
sausages => 6
scarlet => 6
shelves => 6
shivered => 6
soccer => 6
soft => 6
speed => 6
speeding => 6
split => 6
stomach => 6
stretched => 6
struck => 6
stunned => 6
tables => 6
teach => 6
teams => 6
telephone => 6
theyve => 6
thirty => 6
thousands => 6
thrown => 6
tired => 6
training => 6
trophy => 6
trust => 6
uniform => 6
view => 6
warm => 6
wonderful => 6
wrist => 6
yellow => 6
yesterday => 6
youngest => 6
Anyone => 5
Baron => 5
Chaser => 5
Curse => 5
Devils => 5
Didnt => 5
Dragon => 5
Dyou => 5
Elixir => 5
Figg => 5
Filchs => 5
Follow => 5
Ginny => 5
HIM => 5
Had => 5
Headless => 5
Herbology => 5
Hey => 5
Inside => 5
James => 5
Like => 5
Make => 5
Marcus => 5
Mars => 5
Nobody => 5
Restricted => 5
Romania => 5
Section => 5
Severus => 5
Should => 5
Snare => 5
Stop => 5
Students => 5
Ten => 5
Through => 5
Use => 5
Welcome => 5
Wheres => 5
Which => 5
YOU => 5
abou => 5
adventure => 5
age => 5
animals => 5
anxiously => 5
archway => 5
badly => 5
bald => 5
barely => 5
barked => 5
bathroom => 5
beaming => 5
bear => 5
becoming => 5
bedroom => 5
believed => 5
bellowed => 5
below => 5
bewitched => 5
bike => 5
birds => 5
bits => 5
blinked => 5
boots => 5
breathe => 5
breathing => 5
bringing => 5
bronze => 5
bundle => 5
cakes => 5
cards => 5
carry => 5
cause => 5
celebrating => 5
clapping => 5
cloaks => 5
closed => 5
coins => 5
collapsed => 5
complain => 5
complained => 5
contact => 5
crossbow => 5
curious => 5
curiously => 5
curse => 5
daylight => 5
delighted => 5
eaten => 5
eggs => 5
eight => 5
enchantments => 5
enormous => 5
explained => 5
exploded => 5
eyed => 5
faint => 5
fangs => 5
faster => 5
feathers => 5
fine => 5
forced => 5
forever => 5
friendly => 5
frightened => 5
frog => 5
gamekeeper => 5
gang => 5
glittering => 5
grab => 5
greatest => 5
grew => 5
grinned => 5
groaned => 5
halt => 5
handkerchief => 5
happens => 5
happily => 5
helped => 5
hungry => 5
hurtled => 5
ill => 5
imagining => 5
impressed => 5
involved => 5
joking => 5
kid => 5
leaning => 5
lies => 5
lines => 5
locker => 5
losing => 5
lower => 5
mark => 5
meeting => 5
miles => 5
minds => 5
mine => 5
miserably => 5
mood => 5
mum => 5
mumbled => 5
music => 5
mysterious => 5
neat => 5
nerve => 5
office => 5
opinion => 5
p => 5
panic => 5
peoples => 5
perfectly => 5
photographs => 5
pick => 5
places => 5
plastic => 5
pop => 5
possibly => 5
prefects => 5
present => 5
pretending => 5
pretty => 5
proper => 5
purpose => 5
putting => 5
reading => 5
reckon => 5
roast => 5
rob => 5
s => 5
sandwiches => 5
sank => 5
saved => 5
scrambled => 5
share => 5
sheets => 5
short => 5
shrieked => 5
skin => 5
slithering => 5
socks => 5
sometimes => 5
speaking => 5
sprinted => 5
squinting => 5
stare => 5
sticks => 5
strangely => 5
streaked => 5
sun => 5
tapped => 5
thank => 5
throat => 5
tightly => 5
towering => 5
town => 5
trash => 5
twitched => 5
unusual => 5
unwrapped => 5
upset => 5
useful => 5
vanished => 5
voices => 5
warmth => 5
weak => 5
wherever => 5
whistle => 5
whod => 5
wings => 5
winked => 5
winning => 5
wish => 5
wizarding => 5
wore => 5
yehve => 5
yell => 5
yourselves => 5
Against => 4
Ages => 4
Although => 4
Angelina => 4
Beaters => 4
Behind => 4
Best => 4
Better => 4
Blimey => 4
Botts => 4
Brilliant => 4
Charms => 4
Course => 4
Dad => 4
Dear => 4
Dedalus => 4
Defense => 4
Excuse => 4
Famous => 4
Friar => 4
Friday => 4
Frog => 4
Funny => 4
GRYFFINDOR => 4
Galleons => 4
Half => 4
Hat => 4
Her => 4
Hope => 4
However => 4
Hurry => 4
Johnson => 4
Life => 4
Little => 4
Lord => 4
Lucky => 4
Malkins => 4
Must => 4
NOT => 4
Nick => 4
Nine => 4
Oliver => 4
Our => 4
Parvati => 4
Seekers => 4
Send => 4
September => 4
Seven => 4
Smeltings => 4
Stay => 4
Still => 4
Stonewall => 4
Tell => 4
Thank => 4
Those => 4
Transfiguration => 4
Underground => 4
Unfortunately => 4
Want => 4
Will => 4
Wizard => 4
Would => 4
addressed => 4
ajar => 4
amazed => 4
amazement => 4
among => 4
anger => 4
answered => 4
argue => 4
armchairs => 4
aside => 4
award => 4
bags => 4
banquet => 4
bartender => 4
bat => 4
bathrobe => 4
battered => 4
beat => 4
beautiful => 4
beside => 4
bite => 4
blame => 4
blinking => 4
blocked => 4
blond => 4
boa => 4
bobbing => 4
bolt => 4
bound => 4
bowl => 4
brandy => 4
brass => 4
braver => 4
brightly => 4
brilliant => 4
bring => 4
bursting => 4
cage => 4
calm => 4
candy => 4
cannot => 4
casually => 4
centaurs => 4
championship => 4
cheek => 4
choice => 4
chosen => 4
clock => 4
clutched => 4
coldly => 4
complete => 4
confused => 4
counted => 4
counter => 4
country => 4
crashed => 4
cross => 4
crowded => 4
crunching => 4
cursed => 4
curtains => 4
decide => 4
deeper => 4
deeply => 4
delicious => 4
desperately => 4
detention => 4
didn => 4
dirty => 4
distance => 4
distant => 4
dodged => 4
doubt => 4
downstairs => 4
drawing => 4
dreamed => 4
drinking => 4
drive => 4
dry => 4
dying => 4
early => 4
emptied => 4
ends => 4
everywhere => 4
excited => 4
excitement => 4
excuse => 4
extremely => 4
eyebrows => 4
fair => 4
fault => 4
fierce => 4
finds => 4
fireplace => 4
fitted => 4
flashed => 4
flick => 4
flooded => 4
floors => 4
fluttered => 4
fluttering => 4
folk => 4
fool => 4
foolish => 4
forgive => 4
frantically => 4
freckles => 4
gives => 4
glancing => 4
glared => 4
glinting => 4
gloomy => 4
gonna => 4
grubby => 4
hairy => 4
hamburger => 4
happening => 4
hearts => 4
heavily => 4
hissing => 4
honestly => 4
hooded => 4
hoped => 4
horse => 4
immediately => 4
impossible => 4
incredible => 4
ing => 4
ink => 4
interest => 4
itll => 4
jet => 4
kick => 4
kitchens => 4
knee => 4
knowin => 4
lap => 4
learning => 4
leather => 4
lets => 4
lift => 4
lights => 4
lives => 4
lookin => 4
manage => 4
map => 4
marks => 4
meanwhile => 4
mentioned => 4
merrily => 4
miss => 4
missed => 4
missing => 4
mixed => 4
mixture => 4
mom => 4
moments => 4
month => 4
months => 4
movements => 4
mystry => 4
necks => 4
nerves => 4
nodding => 4
nonsense => 4
obvious => 4
offered => 4
orange => 4
ought => 4
ours => 4
ourselves => 4
overcoat => 4
owlery => 4
owned => 4
packages => 4
pairs => 4
part => 4
pass => 4
passage => 4
pay => 4
peas => 4
peculiar => 4
phoenix => 4
piercing => 4
pipe => 4
plan => 4
plate => 4
played => 4
player => 4
plump => 4
poking => 4
problem => 4
problems => 4
protect => 4
punished => 4
queen => 4
quicker => 4
quill => 4
quivering => 4
rage => 4
rain => 4
rare => 4
rats => 4
rattled => 4
rattling => 4
realizing => 4
received => 4
recognized => 4
reflected => 4
results => 4
ripped => 4
roared => 4
roof => 4
ropes => 4
roughly => 4
rounded => 4
rubbish => 4
rude => 4
ruffled => 4
rustling => 4
score => 4
screaming => 4
sense => 4
serious => 4
shaped => 4
shiny => 4
shone => 4
shooting => 4
shortly => 4
shout => 4
shuffled => 4
sideways => 4
sixty => 4
sleeve => 4
smelled => 4
smoke => 4
snatched => 4
sneaking => 4
sniffed => 4
sobbed => 4
softly => 4
sorts => 4
sparkling => 4
spells => 4
spiral => 4
squashy => 4
squeaked => 4
squeezed => 4
stamp => 4
staying => 4
stern => 4
sticking => 4
strongly => 4
struggled => 4
struggling => 4
stumbled => 4
suggest => 4
suit => 4
suspected => 4
sweet => 4
swooping => 4
tabby => 4
takin => 4
tape => 4
tapping => 4
taught => 4
temper => 4
threatening => 4
throw => 4
thundered => 4
toast => 4
toppled => 4
tore => 4
trip => 4
trunks => 4
twitching => 4
unicorns => 4
unpleasant => 4
unwrap => 4
warn => 4
wave => 4
werewolf => 4
wet => 4
whipped => 4
whispering => 4
whos => 4
wildly => 4
wiping => 4
woken => 4
wood => 4
worst => 4
wouldn => 4
writing => 4
younger => 4
ALBUS => 3
ARE => 3
Agrippa => 3
Algie => 3
Always => 3
Anything => 3
Apothecary => 3
Back => 3
Barons => 3
Bell => 3
Bettie => 3
Bill => 3
Binns => 3
Black => 3
Both => 3
Brazil => 3
Britain => 3
Bye => 3
Crockford => 3
D => 3
Daily => 3
Diggle => 3
Doris => 3
Everybody => 3
Exactly => 3
Figgs => 3
Finally => 3
Firs => 3
Flamels => 3
Fungi => 3
Gran => 3
Guide => 3
HOGWARTS => 3
HUFFLEPUFF => 3
Hang => 3
Hannah => 3
Head => 3
Hello => 3
Herbs => 3
Here => 3
House => 3
Hows => 3
Hufflepuffs => 3
Ickle => 3
Itll => 3
July => 3
Leviosa => 3
Malfay => 3
Malkin => 3
Marge => 3
Master => 3
Me => 3
Merry => 3
Midnight => 3
Mind => 3
Mommy => 3
Monday => 3
Most => 3
Neither => 3
Nice => 3
Nicholas => 3
Norberts => 3
Norwegian => 3
OR => 3
Ollivanders => 3
Outer => 3
Over => 3
Owls => 3
Oy => 3
Pince => 3
Platform => 3
Poor => 3
Prophet => 3
Pucey => 3
Put => 3
Quick => 3
Ready => 3
Really => 3
Red => 3
Ridgeback => 3
Ronald => 3
Rubbish => 3
Rubeus => 3
Say => 3
Sickles => 3
Side => 3
Slowly => 3
Sometimes => 3
Soon => 3
Spells => 3
Sprout => 3
Suddenly => 3
Take => 3
Tap => 3
Things => 3
Thirty => 3
Thomas => 3
Told => 3
Too => 3
Trevor => 3
Tuesday => 3
Unless => 3
Wands => 3
Wednesday => 3
Wingardium => 3
Wizardry => 3
Wonder => 3
Yehve => 3
acting => 3
address => 3
admiring => 3
advice => 3
alchemy => 3
ankles => 3
armchair => 3
askin => 3
astonishing => 3
ate => 3
awarded => 3
b => 3
babble => 3
backed => 3
backs => 3
badge => 3
balloon => 3
bank => 3
banner => 3
battle => 3
beak => 3
beamed => 3
bean => 3
begin => 3
behaving => 3
belong => 3
belonged => 3
bend => 3
bewildered => 3
bezoar => 3
bigger => 3
biggest => 3
bill => 3
bishop => 3
bitten => 3
bitterly => 3
blinding => 3
bloody => 3
blow => 3
blown => 3
blurted => 3
boiling => 3
boils => 3
bolted => 3
bored => 3
boring => 3
bother => 3
bothered => 3
bounds => 3
boxes => 3
brain => 3
brains => 3
bravery => 3
brick => 3
building => 3
buried => 3
burning => 3
bushy => 3
buying => 3
c => 3
calmly => 3
camera => 3
candles => 3
captain => 3
cared => 3
cauldrons => 3
chairs => 3
chalk => 3
charm => 3
chasing => 3
chat => 3
checking => 3
cheered => 3
cheerfully => 3
chicken => 3
choked => 3
clever => 3
cliff => 3
climbing => 3
closely => 3
clouds => 3
coats => 3
colder => 3
collecting => 3
color => 3
concentrate => 3
confusion => 3
constrictor => 3
cool => 3
coolly => 3
copying => 3
cost => 3
couldve => 3
counting => 3
countryside => 3
cousin => 3
cover => 3
cream => 3
croaked => 3
crumpled => 3
curled => 3
cursing => 3
d => 3
dancing => 3
danger => 3
dangling => 3
dared => 3
daring => 3
dashed => 3
dashing => 3
deafening => 3
deal => 3
definitely => 3
delight => 3
deliver => 3
demanded => 3
destroyed => 3
determined => 3
difficulty => 3
doormat => 3
downward => 3
dozen => 3
drag => 3
dreams => 3
driven => 3
dropping => 3
drops => 3
duel => 3
dungeon => 3
eagle => 3
earlier => 3
earn => 3
easier => 3
echoed => 3
effort => 3
engine => 3
escape => 3
especially => 3
everybody => 3
everyones => 3
everythin => 3
examined => 3
explaining => 3
failed => 3
favored => 3
fields => 3
finger => 3
finish => 3
firmly => 3
firs => 3
fist => 3
fists => 3
fit => 3
flaming => 3
flavor => 3
fleet => 3
flicked => 3
flickering => 3
flopped => 3
flushed => 3
flutter => 3
folded => 3
fork => 3
fortune => 3
fought => 3
foul => 3
frame => 3
freezing => 3
frightening => 3
frowning => 3
fudge => 3
games => 3
gathered => 3
gigantic => 3
glance => 3
glanced => 3
glaring => 3
gleaming => 3
glided => 3
gliding => 3
glowing => 3
goin => 3
goodness => 3
grateful => 3
grip => 3
gripped => 3
growls => 3
gruffly => 3
guardin => 3
guess => 3
hairs => 3
handing => 3
hats => 3
heavens => 3
hitting => 3
hoarse => 3
hugged => 3
humans => 3
hummed => 3
icy => 3
ideas => 3
idiot => 3
ignore => 3
impatiently => 3
ingredients => 3
interrupted => 3
iron => 3
irritably => 3
jacket => 3
jam => 3
jaws => 3
jostled => 3
jumping => 3
keen => 3
kettle => 3
keyhole => 3
kiss => 3
knobbly => 3
laid => 3
lately => 3
leap => 3
lent => 3
level => 3
licking => 3
liking => 3
lion => 3
lip => 3
logic => 3
longer => 3
lowered => 3
lump => 3
lunch => 3
magical => 3
makes => 3
mans => 3
markings => 3
maroon => 3
measure => 3
mercy => 3
meself => 3
mess => 3
metal => 3
mice => 3
mistaking => 3
misty => 3
mountains => 3
mouthed => 3
movement => 3
muffled => 3
mustnt => 3
mutter => 3
neednt => 3
neighbors => 3
nightmare => 3
nights => 3
nighttime => 3
normally => 3
nowhere => 3
oak => 3
okay => 3
oldest => 3
order => 3
ordered => 3
paid => 3
painful => 3
parking => 3
partner => 3
pasty => 3
patting => 3
pause => 3
penalty => 3
peppermint => 3
petrified => 3
pie => 3
pillow => 3
plain => 3
plunged => 3
poison => 3
poked => 3
postcard => 3
potatoes => 3
powers => 3
practicing => 3
pretend => 3
pretended => 3
private => 3
promised => 3
proudly => 3
pub => 3
puffing => 3
pumpkin => 3
